1.Region,2.Region,3.Country,year,type,value
America Total,N. America Sub-Total,Canada,2018,Cars,655896 
America Total,N. America Sub-Total,U.S.A.,2018,Cars,2785164 
America Total,N. America Sub-Total,Mexico,2018,Cars,1580707 
Europe Total,EU Sub-Total,Austria,2018,Cars,144500 
Europe Total,EU Sub-Total,Belgium,2018,Cars,265958 
Europe Total,EU Sub-Total,Finland,2018,Cars,112104 
Europe Total,EU Sub-Total,France,2018,Cars,1763000 
Europe Total,EU Sub-Total,Germany,2018,Cars,5120409 
Europe Total,EU Sub-Total,Italy,2018,Cars,673196 
Europe Total,EU Sub-Total,Netherlands,2018,Cars,214000 
Europe Total,EU Sub-Total,Portugal,2018,Cars,234151 
Europe Total,EU Sub-Total,Spain,2018,Cars,2239134 
Europe Total,EU Sub-Total,Sweden,2018,Cars,290000 
Europe Total,EU Sub-Total,U.K.,2018,Cars,1474741 
Europe Total,EU Sub-Total,Czech Rep.,2018,Cars,1437396 
Europe Total,EU Sub-Total,Hungary,2018,Cars,464539 
Europe Total,EU Sub-Total,Poland,2018,Cars,451600 
Europe Total,EU Sub-Total,Romania,2018,Cars,476769 
Europe Total,EU Sub-Total,Slovak Rep.,2018,Cars,1093215 
Europe Total,EU Sub-Total,Slovenia,2018,Cars,135962 
Europe Total,Other Europe Sub-Total,Russia,2018,Cars,1560218 
Europe Total,Other Europe Sub-Total,Serbia,2018,Cars,56303 
Europe Total,Other Europe Sub-Total,Ukraine,2018,Cars,5660 
Europe Total,Other Europe Sub-Total,Uzbekistan,2018,Cars,178667 
Europe Total,Other Europe Sub-Total,Others,2018,Cars,40957 
Asia Total,Asia & Pacific Sub-Total,China,2018,Cars,23529423 
Asia Total,Asia & Pacific Sub-Total,India,2018,Cars,4067737 
Asia Total,Asia & Pacific Sub-Total,Indonesia,2018,Cars,1055763 
Asia Total,Asia & Pacific Sub-Total,Japan,2018,Cars,8359286 
Asia Total,Asia & Pacific Sub-Total,Korea,2018,Cars,3661601 
Asia Total,Asia & Pacific Sub-Total,Malaysia,2018,Cars,522392 
Asia Total,Asia & Pacific Sub-Total,Pakistan,2018,Cars,223481 
